Gender,HasCrCard,IsActiveMember,LogAgeNorm,BalanceNorm,EstimatedSalaryNorm,TenureNorm,NumOfProductsNorm,CreditScoreNorm,geo_France,geo_Germany,geo_Spain
1,1,1,0.35267758561072293,0.0,0.8955502800746067,0.6000000000000001,0.3333333333333333,0.672,1,0,0
1,1,1,0.519363200403419,0.4767856144301458,0.9800286841143768,0.4,0.3333333333333333,0.564,0,1,0
1,1,0,0.1763387928053617,0.4573168333007238,0.42926086849718886,0.30000000000000004,0.0,0.41800000000000004,0,0,1
0,1,0,0.248535569419166,0.5406059488137196,0.7654083308806199,0.9,0.0,0.42200000000000004,1,0,0
1,0,0,0.6957019932087807,0.5665540140221873,0.19710745416252606,0.9,0.0,0.33399999999999996,1,0,0
1,1,0,0.5045922655349329,0.47925231316029554,0.8157865390385175,0.4,0.0,0.43800000000000006,1,0,0
0,0,0,0.48945657960814826,0.0,0.37858553305829923,0.1,0.3333333333333333,0.666,1,0,0
0,1,1,0.5616533562219526,0.0,0.4961018491683063,0.8,0.3333333333333333,0.818,1,0,0
0,1,1,0.38983830450530643,0.0,0.30588630706511044,0.30000000000000004,0.3333333333333333,0.1519999999999999,1,0,0
1,0,1,0.8665433129726314,0.0,0.2574761731587152,0.2,0.3333333333333333,0.5019999999999999,1,0,0
0,0,1,0.6619523244934507,0.49360822156916384,0.8523328443916063,0.8,0.3333333333333333,0.7699999999999999,1,0,0
0,1,0,0.4739376713272856,0.0,0.2032771353027784,0.2,0.3333333333333333,0.634,0,0,1
1,1,1,0.35267758561072293,0.0,0.3239390782510385,0.5,0.0,0.7819999999999999,1,0,0
0,1,0,0.313117786802787,0.0,0.7199535102618978,0.5,0.3333333333333333,0.32199999999999995,1,0,0
0,1,1,0.5045922655349329,0.0,0.4706846840167186,0.5,0.3333333333333333,0.31599999999999995,1,0,0
0,1,1,0.3332167721988166,0.0,0.8785631947301358,0.7000000000000001,0.3333333333333333,0.358,1,0,0
0,0,1,0.547878301565027,0.5318692143092839,0.02810737026246707,0.8,0.0,0.646,1,0,0
1,1,0,0.48945657960814826,0.48368638438020795,0.6917638408956706,1.0,0.0,0.32999999999999996,0,0,1
1,1,0,0.6138520385823107,0.3931857352919666,0.5957795218517129,0.8,0.0,0.9999999999999999,0,1,0
1,1,1,0.270827630984253,0.28337094953572584,0.6524613910889934,0.5,0.0,0.5539999999999999,0,1,0
1,1,1,0.42487436222452724,0.4685529889844917,0.5577489308996213,0.5,0.3333333333333333,0.572,1,0,0
1,1,0,0.270827630984253,0.0,0.011082612440712736,0.30000000000000004,0.3333333333333333,0.896,1,0,0
1,1,0,0.4076066249816783,0.38204113072363366,0.9647921432322596,0.4,0.3333333333333333,0.7000000000000001,0,1,0
1,1,0,0.4076066249816783,0.48239067902031463,0.049622657358512956,0.30000000000000004,0.0,0.32799999999999996,1,0,0
